Age,Position,post_location,rel_status,photos,sig_other,fb_diary,work_pics,school_related,fb_signup,pust_wall,vacation,finance,online_meet,workplace,school_records,phone_num,humiliating,personality,personalize,anyone_see,write_comment,read_act,PIC,pd_planner,informed,transfer,person_accessed,storage,cybercrime,consent_required,research,sec_policy,measures,monitor,liable,moa,lose_license,delete,compliance,imprisonment,correction
40,Faculty,3,2,5,4,2,3,4,3,3,3,1,1,3,2,2,2,3,2,1,1,5,5,4,5,4,4,3,2,3,5,5,5,4,5,4,5,5,4,4,5
46,Unit/Subject Area Head,1,1,4,2,2,3,2,2,2,3,1,1,2,1,2,1,2,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
23,Faculty,3,1,5,3,3,2,3,3,3,4,1,1,3,2,1,1,3,3,2,3,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5
23,Faculty,3,1,5,2,2,1,1,3,1,2,1,1,1,1,4,1,1,1,3,3,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5
23,Faculty,3,1,4,2,2,3,2,1,2,1,1,1,1,1,1,2,2,2,3,1,5,5,4,5,5,5,5,2,4,5,5,5,4,4,5,2,4,4,5,5
26,Faculty,2,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5
26,Faculty,1,1,3,1,2,3,1,3,1,1,1,1,1,1,1,1,1,1,1,3,5,5,3,4,5,5,5,5,5,5,5,5,3,5,4,2,2,3,5,5
27,Faculty,2,4,5,2,2,2,2,1,2,2,1,1,1,2,1,1,1,2,2,1,5,5,4,5,4,5,4,5,4,5,5,5,4,4,5,4,4,4,4,4
46,Non-teaching Staff,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,3,5,5,5,5,5,5,5,5,4,4,5,5,5,4,4,5,5
45,Non-teaching Staff,3,3,5,3,2,2,4,5,3,1,1,2,3,3,3,1,2,4,3,3,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5
34,Non-teaching Staff,2,1,3,3,2,2,1,2,1,1,1,1,1,1,2,1,2,1,4,3,3,4,3,3,4,4,4,4,3,4,4,3,3,3,4,4,3,3,3,3
33,Non-teaching Staff,1,5,3,3,2,2,5,3,1,3,1,1,4,3,3,1,1,2,3,1,5,5,4,5,5,1,5,5,5,5,5,4,4,5,5,5,4,5,5,5
30,Faculty,2,1,3,2,2,2,4,2,3,1,1,1,1,2,1,1,2,2,1,2,5,5,4,5,5,5,5,3,5,5,5,5,5,5,5,4,2,4,3,5
40,Non-teaching Staff,3,1,3,1,2,3,3,2,4,2,1,1,2,1,1,2,1,2,2,2,5,5,4,5,5,4,5,4,4,4,5,5,4,5,5,5,4,5,5,5
27,Non-teaching Staff,2,5,3,3,1,1,2,1,2,1,1,1,1,1,1,1,2,1,5,3,5,5,3,5,5,5,5,5,5,5,5,4,4,3,3,3,4,5,3,5
25,Non-teaching Staff,3,3,4,3,2,3,3,1,2,3,1,1,2,2,2,1,2,1,2,2,5,5,3,5,5,5,4,5,5,5,5,5,5,5,5,5,3,5,5,5
26,Faculty,3,5,5,4,4,4,5,3,3,2,1,1,4,1,3,1,3,3,1,3,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,3,5
42,Unit/Subject Area Head,1,2,4,3,2,2,4,4,2,1,1,1,1,2,1,1,2,2,4,2,5,4,4,4,5,5,4,3,4,4,5,5,4,4,4,4,4,5,3,5
31,Faculty,3,1,4,1,4,3,3,2,2,3,1,1,3,2,1,1,2,1,2,4,5,5,5,5,5,5,5,4,5,4,5,5,4,4,4,5,4,4,4,5
47,Non-teaching Staff,2,1,2,1,2,3,2,1,1,2,1,1,1,1,2,1,1,2,2,1,5,5,5,5,5,3,4,4,4,4,5,5,5,5,5,5,5,5,4,5
32,Unit/Subject Area Head,1,2,4,3,3,3,3,2,2,4,2,3,4,2,4,1,3,2,2,3,4,4,2,4,3,4,4,4,5,5,5,5,4,4,4,5,3,4,4,5
28,Faculty,4,1,3,5,5,3,5,5,2,2,1,1,2,2,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4
61,Non-teaching Staff,2,1,4,1,2,3,2,4,2,2,1,1,3,1,2,1,2,4,4,4,5,5,4,5,5,5,5,4,5,5,5,4,3,5,5,5,4,5,5,5
23,Faculty,2,1,3,1,2,2,3,4,1,2,1,2,2,2,3,1,3,1,2,4,5,5,4,5,5,4,5,3,5,5,5,4,3,5,5,4,4,5,5,5
38,Non-teaching Staff,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,5,5,4,5,5,5,4,4,5,5,5,5,5,5,5,5,3,5,5,5
27,Faculty,1,2,3,3,2,2,4,2,2,1,1,1,2,2,1,1,1,1,4,1,5,5,3,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5
47,Faculty,2,1,3,2,1,1,4,2,3,1,1,1,2,1,2,1,1,2,1,2,5,5,4,5,5,5,5,4,5,4,5,5,4,5,5,5,4,5,5,4
46,Faculty,4,2,3,3,2,2,4,3,2,3,1,2,1,1,3,1,3,3,4,3,5,5,5,5,5,5,5,2,5,4,5,5,4,5,4,4,4,5,4,3
31,Unit/Subject Area Head,1,1,4,3,2,3,4,4,3,4,1,1,3,2,1,1,2,2,2,3,5,5,4,5,4,5,5,4,5,4,5,3,4,4,5,4,3,5,5,4
25,Faculty,4,1,3,3,3,4,3,2,3,2,1,1,1,1,2,2,3,3,2,1,5,5,3,5,5,5,5,5,5,4,5,4,4,5,5,4,4,5,4,5
33,Unit/Subject Area Head,3,2,5,3,2,2,4,4,3,3,1,2,2,2,1,1,2,2,2,2,5,5,4,4,4,4,5,4,5,4,5,5,5,4,5,5,5,5,4,5
27,Faculty,3,1,5,1,3,4,4,3,1,2,1,1,3,2,1,1,2,3,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25,Faculty,2,3,2,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,5,5,3,4,4,4,4,2,5,4,5,4,4,4,5,2,3,3,3,4
23,Faculty,4,1,5,1,3,5,5,5,5,5,1,3,4,5,1,1,2,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5
51,A-Team,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,5,5,3,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5
75,A-Team,2,2,3,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,5,5,5,5,5,5,5,4,4,4,5,4,4,4,5,4,4,4,4,5
23,Faculty,3,2,4,2,4,3,3,5,5,4,1,2,2,4,2,1,3,3,2,3,5,5,4,5,5,4,4,4,5,5,5,5,5,5,4,5,4,4,4,5
47,Unit/Subject Area Head,2,1,3,2,2,3,4,3,2,1,1,1,3,1,3,1,1,1,3,2,4,5,4,5,5,5,5,3,5,5,5,4,4,5,5,5,4,5,5,5
24,Non-teaching Staff,2,2,3,1,1,2,2,3,1,2,1,1,2,1,1,1,1,2,1,1,5,5,3,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,5,5
54,Faculty,3,5,2,2,1,2,1,1,2,1,1,1,1,2,1,1,1,1,3,1,5,4,2,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,3,5
40,Non-teaching Staff,1,1,4,2,2,2,3,3,2,3,1,1,2,1,2,1,1,2,1,2,5,5,3,5,5,3,3,4,5,5,5,4,4,3,5,4,4,5,4,5
30,A-Team,1,1,3,2,2,2,3,3,3,2,1,1,2,1,1,1,2,2,1,2,5,5,3,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5
54,Non-teaching Staff,1,1,2,1,1,1,1,1,4,1,1,1,2,1,2,1,1,1,4,1,5,5,3,5,5,5,5,5,5,4,5,4,3,4,4,4,5,5,5,5
35,Non-teaching Staff,3,3,3,3,2,2,3,2,2,2,1,1,3,2,2,1,2,2,2,3,5,5,4,5,5,5,5,4,4,5,5,5,5,5,4,1,3,5,5,5
28,Faculty,1,3,3,2,1,3,3,4,1,1,1,1,1,4,1,1,1,1,1,1,5,3,5,5,4,2,4,1,5,5,5,4,5,4,5,5,4,5,5,5
23,Faculty,2,2,3,1,4,3,3,3,2,1,1,2,3,2,2,2,3,3,2,3,5,5,2,5,5,5,5,3,5,5,5,5,4,5,4,4,3,5,4,5
51,A-Team,3,4,4,3,3,4,5,5,4,4,2,4,5,5,4,1,4,2,2,4,5,5,2,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5
46,Non-teaching Staff,1,3,3,2,2,2,3,3,1,1,1,1,1,1,3,1,1,2,2,2,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,3,5,5,3
23,Non-teaching Staff,2,1,3,3,2,1,1,2,1,2,1,1,1,1,1,1,2,3,3,2,5,5,5,5,5,5,5,3,5,5,5,5,4,5,5,5,4,5,5,5
57,Unit/Subject Area Head,1,1,2,1,1,2,5,3,1,1,1,2,2,2,2,1,1,1,5,1,5,5,4,5,5,5,5,2,4,4,5,5,5,4,5,4,4,5,4,5
22,Faculty,3,3,5,3,4,4,1,4,3,1,1,1,3,4,5,1,1,3,3,3,5,5,5,5,5,5,5,1,5,5,5,5,5,1,5,3,3,5,3,5
23,Faculty,4,2,3,2,2,2,5,4,2,3,1,2,3,2,1,1,2,1,2,2,5,5,5,5,5,5,5,3,5,5,5,5,4,5,5,4,2,5,5,5
46,Non-teaching Staff,2,1,5,3,2,3,5,3,2,1,1,1,2,2,1,1,1,5,1,3,5,5,4,5,5,5,5,4,4,5,5,4,4,5,5,4,4,5,4,4
31,Faculty,3,5,5,5,2,2,2,1,1,1,1,1,2,1,1,1,1,1,3,2,5,5,3,5,5,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5
24,Faculty,1,1,3,1,2,2,1,3,1,1,1,1,2,1,1,1,2,2,1,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5
52,Unit/Subject Area Head,1,1,2,2,1,2,1,1,2,2,1,1,2,1,1,1,1,1,2,1,5,4,4,5,5,5,5,4,4,5,5,5,5,5,5,4,3,5,4,5
48,Unit/Subject Area Head,3,2,3,2,2,2,3,4,3,2,1,1,2,4,4,1,1,1,3,2,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,4,4,4,5,5
60,A-Team,1,2,2,2,1,2,2,2,1,1,1,1,2,3,2,1,1,1,2,3,5,5,5,5,5,4,4,4,5,5,5,4,4,5,5,5,4,5,4,5
25,Faculty,3,1,3,3,3,3,3,4,3,3,1,1,1,1,1,1,1,1,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5
34,Faculty,2,1,4,3,3,2,3,4,2,3,1,2,3,3,2,1,2,2,3,3,5,5,5,5,5,5,5,3,5,5,5,4,3,5,5,4,4,5,5,5
42,Faculty,3,1,3,1,1,2,1,3,2,1,1,1,1,2,1,1,1,1,2,2,5,4,3,5,5,3,4,2,4,3,5,5,3,3,3,3,2,4,3,5
21,Faculty,4,3,5,3,5,5,3,5,4,5,1,3,4,1,5,2,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5
44,Non-teaching Staff,3,2,2,2,2,2,5,4,3,4,1,1,3,2,1,1,3,3,4,4,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5
34,Non-teaching Staff,3,4,4,2,3,3,2,4,2,3,1,1,1,1,2,2,2,1,3,3,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,5,5
67,A-Team,1,1,3,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,3,2,5,1,3,5,5,3,4,3,5,4,5,5,3,5,5,5,3,5,5,5
46,Faculty,1,1,2,1,1,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,5,5,4,4,5,3,4,5,4,4,5,5,5,3,3,3,5
